deserve,~할 만하다
sharp,날카로운
polar,남극의
abuse,남용
overlook,간과하다
descend,내려오다
ascend,올라가다
dump,내버리다 / 덤프트럭
contain,내포하다
widespread,널리 보급되어 있는
extent,어느 정도 범위
exceed,넘다
crawl,네발로 기다
labor,노동
effort,노력
veteran,"노련가, 경험 많은 대가, 베테랑"
irritate,노하게 하다
furious,노하여 펄펄뛰는
all sorts of,all kinds of
naive,순진한
fashion,방법 manner
duration,(지속되는) 기간
in any order,어떤 순서로든
optimal,가장 이상적인 / 'opt~' 긍정적...
particular,특수한
stem from,어디서 유래하다
besides,게다가
be based on A,A에 기반을 둔.
go through (examples below),~을 살펴보다
a number of x vs. the number of x,다수의 vs X의 갯수
sufficient,충분한
assume,가정하다
at least <~> at most,최소한 <~>많아봐야
either A or B,A 또는 B
controversy,논쟁
dispute,논쟁하다
argue,논하다
even,동등한 / we'll call it even '우리쌤쌤임'
astonish,놀라게 하다
surprise,놀람
peasant,농부
agriculture,농업
